@context,@type,image,url,name,geo/@type,geo/latitude,geo/longitude,address/@type,address/streetAddress,address/addressLocality,address/addressRegion,address/postalCode,mainEntity/0/@type,mainEntity/0/name,mainEntity/0/acceptedAnswer/@type,mainEntity/0/acceptedAnswer/text,mainEntity/1/@type,mainEntity/1/name,mainEntity/1/acceptedAnswer/@type,mainEntity/1/acceptedAnswer/text,mainEntity/2/@type,mainEntity/2/name,mainEntity/2/acceptedAnswer/@type,mainEntity/2/acceptedAnswer/text,mainEntity/3/@type,mainEntity/3/name,mainEntity/3/acceptedAnswer/@type,mainEntity/3/acceptedAnswer/text,mainEntity/4/@type,mainEntity/4/name,mainEntity/4/acceptedAnswer/@type,mainEntity/4/acceptedAnswer/text,logo,description,sameAs/0,sameAs/1,sameAs/2,sameAs/3,sameAs/4,contactPoint/@type,contactPoint/telephone,contactPoint/contactType,contactPoint/areaServed
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/71686/f0c2d7053930b733db6fbf6cebe765ff08f08ee882ffb1e36a6a37c0214a5021120029afd7f79175/small_9065c0decf10bca2cca66446e59e55e6.jpg,/bengaluru/indira-nagar/pg/9773-sai-pavani-pg-for-gents/pgo-properties,Sai Pavani PG for Gents,GeoCoordinates,12.974114,77.634368,PostalAddress,Indira Nagar,15 th Cross Eshwara Layout,41/14,560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/47736/474a0851da56b2a95b3322accbefddfdda7365f5a35abec85690ab81cf9fc785662feead8d74fa94/small_6e11a0c171a5e3a9852f678854e07293.jpg,/bengaluru/koramangala/pg/5267-sri-krishna-krupa-pg/pgo-properties,Sri Krishna Krupa PG,GeoCoordinates,12.933953,77.607458,PostalAddress,Koramangala,S.G Palya,"30/11,1st Main 1st Cross",560029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Hostel,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/86066/e3dbda8043f2759a79fd9284e9bb4e34b866d98aa1ebbbcf3f7b551862801f6947ad6dd70c429dc6/small_cfa0cd5d-a9bf-45e5-aa9f-100c44501eb0.jpg,/bengaluru/indiranagar-100ft-road/hostel/10435-girls-pg-indiranagar/pgo-properties,Girls PG indiranagar,GeoCoordinates,12.9819,77.641189,PostalAddress,Indiranagar 100ft road,"855,5th main, 5th cross indiranagar 1st stage Opp silicon city school","229, 7th Cross, indiranagar 1stage",560038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113906/6e354d12f7b33faea27a1cf8b63c27bdf25094b8bdc7375c4dfcdf391d726181b62b9da4f5c512c7/small_WhatsApp_Image_2020-06-17_at_10.41.04_AM.jpeg,/bengaluru/near-forum-mall/pg/13581-city-guest-luxury-pg-for-ladies/pgo-properties,City Guest Luxury PG for Ladies,GeoCoordinates,12.925896,77.609308,PostalAddress,Near forum mall,"Tharavakar main road,BTM 1st stage ,BTM layout ,near Christ university","House no: 70,3rd main,Brundhavan Nagar",560029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/33101/6dcd61dff49a74efe73822b1e68834cd38e5660d75710309840d4ed85f9e23332040a2e1d3de61f0/small_8d10f2134e3dcc35fc5ae41a1a3604c3.jpg,/bengaluru/old-madiwala/pg/1956-sri-venkateswara-deluxe-pg-for-gents/pgo-properties,Sri Venkateswara Deluxe PG For Gents,GeoCoordinates,12.919584,77.618059,PostalAddress,Old madiwala,"32 main, VP road",H No 35/4,560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Hostel,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/72541/f2e15ae8da22249d18ef0174543a48508cfd391c4254d549b728c53445579cddd320da3c2b4b1a5d/small_6add8e005a3814bb2509ff99a173038d.jpg,/bengaluru/hebbal/hostel/9936-prestine-green-boys-pg/pgo-properties,Prestine Green Boys PG,GeoCoordinates,13.037861,77.59355,PostalAddress,Hebbal,SSA Road,# 6 th Cross,560032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/105368/82b436dce5ffb972621a9be47c191929086d17bdc392d90a8e4d2cc09e62b9209eb73984be894ca0/small_1.jpeg,/bengaluru/bengaluru/pg/14232-sivani-comforts-pg-for-ladies/pgo-properties,Sivani Comforts PG For Ladies,GeoCoordinates,12.904079,77.628541,PostalAddress,bengaluru,"1 st cross , Bommanahalli","#13,",560068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/44117/1441141e933dc653e9e973d323749d63783fb215436715f7aa2f2f478e0f280130fb877afc62512a/small_9bf2eb3cc300617edb611aa7d53f5d2b.jpg,/bengaluru/karnataka-india/pg/4643-sri-residential-hostel-for-gents/pgo-properties,Sri Residential Hostel For Gents,GeoCoordinates,12.94994,77.69777,PostalAddress,"Karnataka, India",Bengaluru,"plot.no:888, Marathahalli Village, Marathahalli",560037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/108652/552d1058ebb1e7ca5596bb1f25b6dc018148b9f046f1f9cc2000cd0f2bad261f564a21a1ccaa482f/small_b993fdf8-d840-4e8c-9ef7-bc0c4dcc9a36.jpg,/bengaluru/bangalore/pg/14420-sri-lakshmi-paying-guest-for-gents/pgo-properties,Sri Lakshmi Paying Guest For Gents,GeoCoordinates,12.896061,77.715345,PostalAddress,Bangalore,"Sarjapur Main Road, Kodathi,","#130, Govindareddy layout",560035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/83264/bd71d694e947e2030d1417af947721869207b2075968a35f13c4c2bb490e11f90bb4e4a1ed92f792/small_1.jpg,/bengaluru/electronic-city-2nd-cross-anandhreddy-layout/pg/8618-sri-sai-balaji-pg/pgo-properties,Sri Sai Balaji PG,GeoCoordinates,12.849115,77.680845,PostalAddress,Electronic City 2nd Cross anandhreddy Layout,YNS Residency,#37 Near Tech Mahendhra,560100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112882/24a139227c3ef8e63e85c7d164c201259dbd665e5e95f87a2442d824b14caaf2b0cf7ce7c156b649/small_1566052485201_2.jpg,/bengaluru/koramangala-8th-block/pg/15675-grexter-barbara-women/pgo-properties,Grexter Barbara Women,GeoCoordinates,12.94162,77.614057,PostalAddress,,Koramangala 8th Block,"Building #624, 1-E Cross Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113243/24a6927fc9bdf87eb46d1a461b2358ca2096f8e632e19b2734668ccb85f168540b658b8ca626ed0f/small_Barbara_Men.jpeg,/bengaluru/koramangala-8th-block/pg/15676-grexter-barbara-men/pgo-properties,Grexter Barbara Men,GeoCoordinates,12.94162,77.614057,PostalAddress,,Koramangala 8th Block,"Building #624, 1-E Cross Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112521/08c9d34d0c0cdb3befb7b6fc9a2460c9a1e37f010e08a0a434ff5ea73c8d4dc052460fe6e4232326/small_Cover_1.jpg,/bengaluru/koramangala-8th-block/pg/15654-grexter-sirius-women/pgo-properties,Grexter Sirius Women,GeoCoordinates,12.941236,77.616622,PostalAddress,,Koramangala 8th block,"155/2, Adugodi Main Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112554/b3e6effae79b7a881084a4666c34c137377efc66f84f2139585008652d1b2d27251acd8284a348f5/small_Cover_1.jpg,/bengaluru/koramangala-8th-block/pg/15655-grexter-sirius-men/pgo-properties,Grexter Sirius Men,GeoCoordinates,12.941236,77.616622,PostalAddress,,Koramangala 8th block,"155/2, Adugodi Main Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112915/2c02e87ff57e443a94fb2886cd3560880f1f4deea07d38903ad1bd5a6f5243b2845bb86846a7767e/small_WhatsApp_Image_2019-07-09_at_12.23.23__2_.jpeg,/bengaluru/10th-main-road-5th-cross-road/pg/15678-grexter-volta-women/pgo-properties,Grexter Volta Women,GeoCoordinates,12.975115,77.638634,PostalAddress,,10th Main Road 5th Cross Road,"Building #3449, MM Vihar Apartments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113247/175f991118b4c802e94600b37ea1f92fc5568df1c39cecf06f90345a72384591b0cc1054dd792d42/small_Volta.jpg,/bengaluru/10th-main-road-5th-cross-road/pg/15679-grexter-volta-men/pgo-properties,Grexter Volta Men,GeoCoordinates,12.975115,77.638634,PostalAddress,,10th Main Road 5th Cross Road,"Building #3449, MM Vihar Apartments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112818/8dc3cff9bd2bbf4c4056c444175f58b38421ba6733b5cd1d13798b0d09bd0ccf8facf8c37a3d352f/small_Victoria__17_1.jpg,/bengaluru/3rd-cross-road-ejipura/pg/15671-grexter-victoria-women/pgo-properties,Grexter Victoria Women,GeoCoordinates,12.939589,77.626709,PostalAddress,,3rd Cross Road Ejipura,"Building #15, Victoria, 7 Venkappa Garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112898/0b429cff14caca02479497b7c82b0e562e1cf8c4b66f0ac8c023a250d5612283d6672ae3260e40d1/small_2.jpg,/bengaluru/hal-2nd-stage-indiranagar/pg/15677-grexter-columbus-women/pgo-properties,Grexter Columbus Women,GeoCoordinates,12.974192,77.64045,PostalAddress,,"HAL 2nd Stage, Indiranagar","Building #3071, 11th Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112832/ab01be2ce9097d4f98429c83133274baec4625a3b8a259b254422fb69fee22efb55c2252bceab897/small_1566485135490_2.jpg,/bengaluru/khb-block-koramangala-4-b/pg/15672-grexter-elion-women/pgo-properties,Grexter Elion Women,GeoCoordinates,12.931281,77.620737,PostalAddress,,"KHB Block, Koramangala 4-B","Building #40, 7th B Cross Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112684/7b4f0d4fd2a690943994cc5ef832109c84008631ea2889fe4fea8dba83100df20bc44ae018db45c2/small_1580483147091_8.jpg,/bengaluru/avs-layout-koramangala-4th-block/pg/15662-grexter-elizabeth-women/pgo-properties,Grexter Elizabeth Women,GeoCoordinates,12.937473,77.629244,PostalAddress,,"AVS Layout, Koramangala 4th Block","Building #21, in front of CSI Covenant Church",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112256/9b83f6ce57b86f189ca8b1e921b59ae8657c0a1ccfaa1a72c6ecfa51f821bc9ec4a2f2b57214e685/small_Kiora-_2_-compressor.jpg,/bengaluru/btm-layout/pg/15638-grexter-kiora-women/pgo-properties,Grexter Kiora Women,GeoCoordinates,12.923482,77.612309,PostalAddress,,BTM Layout,"Op Swaraj market, 34, 5th A Main Road, Chocolate Factory Rd, Tavarekere, Extension, BTM Layout 1, Bengaluru, Karnataka 560029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112266/a0cc188036d3052a363c107415f702147bf49ec39f6ebac06fd7e6710285c348aaf18c05380de3e7/small_Kiora-_2_-compressor.jpg,/bengaluru/btm-layout/pg/15639-grexter-kiora-men/pgo-properties,Grexter Kiora Men,GeoCoordinates,12.923482,77.612309,PostalAddress,,BTM Layout,"Op Swaraj market, 34, 5th A Main Road, Chocolate Factory Rd, Tavarekere, Extension, BTM Layout 1, Bengaluru, Karnataka 560029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113254/b58da32ae46077066e8d8d939e8a3330252128c2d057ac31eba3c8a972f73b93618ce9c17e568e85/small_Graham.jpeg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15687-grexter-graham-women/pgo-properties,Grexter Graham Women,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113253/92ecfe48a0113ccc496e63998d6ebddc405e69e3ece795b08bcfd54b3b6ab424d24d6716107a17c2/small_Graham.jpeg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15688-grexter-graham-men/pgo-properties,Grexter Graham Men,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113082/125f72d2657404bf4b889f8e335df279e5ddc2abf94f69660a2a0615508d44ce587ac408f0f6ecfe/small_4bb0e6fe-2e95-4c69-9f9e-7b7086fae7d5.jpg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15689-grexter-tolstoy-women/pgo-properties,Grexter Tolstoy Women,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113246/e9fcbfe954a881e12c388eda6720642b3f42e7763eb8685bf1ad72db80cbf7c06867fce43896f6c8/small_Tolstoy.jpg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15690-grexter-tolstoy-men/pgo-properties,Grexter Tolstoy Men,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113029/0e1bca08578f78cd1fe582ec4ed7f1f275649325e577f89d434b265f9951664978b7e8f8b9168175/small_WhatsApp_Image_2020-02-13_at_12.55.34_PM.jpeg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15685-grexter-picasso-women/pgo-properties,Grexter Picasso Women,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/113043/496a284a84d8a6230aab90c6d36536260239317f1b053fdd85a2c8fe21d1320614f61ebbf856d428/small_WhatsApp_Image_2020-02-13_at_12.55.34_PM.jpeg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15686-grexter-picasso-men/pgo-properties,Grexter Picasso Men,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112966/bb4e9dee90dfcd61f66ff9d87e5b2e60f8c97fce5203eefb3ef0b1538bdd500a89cd11461dc4bab7/small_1535179762274_4.jpg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15680-grexter-da-vinci-women/pgo-properties,Grexter Da Vinci Women,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/112987/4be1370c78d568716831bb5b558151db6249bd5b5cb365f07a6588db5a8a947243bce3519cf0b2f4/small_1535179762274_4.jpg,/bengaluru/chinnamma-block-madiwala-1st-stage/pg/15681-grexter-da-vinci-men/pgo-properties,Grexter Da Vinci Men,GeoCoordinates,12.92372,77.613779,PostalAddress,,"Chinnamma Block, Madiwala, 1st Stage","Building #11, 1st Main Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
