@context,@type,image,url,name,geo/@type,geo/latitude,geo/longitude,address/@type,address/streetAddress,address/addressLocality,address/addressRegion,address/postalCode,mainEntity/0/@type,mainEntity/0/name,mainEntity/0/acceptedAnswer/@type,mainEntity/0/acceptedAnswer/text,mainEntity/1/@type,mainEntity/1/name,mainEntity/1/acceptedAnswer/@type,mainEntity/1/acceptedAnswer/text,mainEntity/2/@type,mainEntity/2/name,mainEntity/2/acceptedAnswer/@type,mainEntity/2/acceptedAnswer/text,mainEntity/3/@type,mainEntity/3/name,mainEntity/3/acceptedAnswer/@type,mainEntity/3/acceptedAnswer/text,mainEntity/4/@type,mainEntity/4/name,mainEntity/4/acceptedAnswer/@type,mainEntity/4/acceptedAnswer/text,logo,description,sameAs/0,sameAs/1,sameAs/2,sameAs/3,sameAs/4,contactPoint/@type,contactPoint/telephone,contactPoint/contactType,contactPoint/areaServed
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/118376/d03ee9749567d60fd95cd43bed85388351f9bd19a7c2aed4db7c38046225dc5c772d59406b3bc201/small_IMG-20180522-WA0004.jpg,/delhi/vijay-nagar/pg/16549-vidhya-niwas/pgo-properties,Vidhya niwas,GeoCoordinates,28.691547,77.201055,PostalAddress,Vijay Nagar,"Old Gupta Colony,","90,",110009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/7/024db16dbe4402479eeefd16eba3bb0f29bcb93ddecb5e686f2a680925d047d747ae6e131725987e/small_Images_4.png,/delhi/delhi-india/pg/12866-girls-pg/pgo-properties,Girls PG,GeoCoordinates,28.686561,77.220957,PostalAddress,"Delhi, India",Delhi,"E-4/35, Sector 16, Rohini",110085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/60707/d5f8f3f73d7d208f732f523a5aab1b2d0f47174bdfaa2604f3a90040bc2057bf3263b4c716a7bb87/small_99e29ce889f08241f9a059a679676a78.png,/new-delhi/timarpur/pg/7116-sahni-pg/pgo-properties,Sahni PG,GeoCoordinates,28.694751,77.216601,PostalAddress,Timarpur,Banarsi Das Estate,"H.No:21/31K,The Mall Road",110054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/68459/9caf0f441ddbcf1832208568b49397a3fbafb9028fba94b08325b0b6adff936e6b2b865d1d35c87f/small_c543292fb6ad015d288851bcbda95a97.png,/delhi/delhi-university/pg/9037-sanskriti-pg/pgo-properties,Sanskriti PG,GeoCoordinates,28.678197,77.212156,PostalAddress,Delhi University,"Lehna Singh Market,Maikaganj Chowk","Flat No:21,Block G",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/4/6868a223c584ccf7e51b37dbe4a49f79a04df81173279095c394ab69be2261b56c80ba6647360a99/small_Images_1.png,/delhi/delhi-india/pg/12288-sanjeevni-pg/pgo-properties,Sanjeevni PG,GeoCoordinates,28.697759,77.215241,PostalAddress,"Delhi, India",Delhi,"973, Mukherjee Nagar",110009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/89332/1ac1ccd605eb82eaee6f677bbba5e6d2be64c02d2ed6eeed3b7faa2848ea822c012f8e4ed36f5abe/small_DSC_0486.jpg,/delhi/delhi-india/pg/12620-sonik-homestay/pgo-properties,Sonik HomeStay,GeoCoordinates,28.68018,77.207985,PostalAddress,"Delhi, India",Delhi,"24-C/UA, Block UA, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/4/6868a223c584ccf7e51b37dbe4a49f79a04df81173279095c394ab69be2261b56c80ba6647360a99/small_Images_1.png,/jalandhar/delhi-india/pg/15632-guru-kirpa-boys-pg/pgo-properties,Guru kirpa boys pg,GeoCoordinates,28.681197,77.20727,PostalAddress,"Delhi, India",Delhi,"Block UB, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/68400/7074645d876d981d1226d1e1ed149fecb99579095a6906c27e7d92f86bd1b89bcb687034c6a156dc/small_884bce92fbde15fff5f51b4e07f1fe34.jpg,/delhi/kamla-nagar/pg/9024-guru-kripa-boys-pg/pgo-properties,Guru Kripa Boys PG,GeoCoordinates,28.680721,77.206965,PostalAddress,Kamla Nagar,"Chattori Lane,Near Momo Point",26 UB 1st Floor,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/110695/4f0783b3786177d3aa3bff3170985e4140737aad51d33e273b907d783ed27a3fc3df1246ff8cac0b/small_IMG_20200410_173258.jpg,/new-delhi/delhi-india/pg/14737-circuit-house-boys-pg/pgo-properties,Circuit House boys pg,GeoCoordinates,28.678628,77.207892,PostalAddress,"Delhi, India",Delhi,"Block UA, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/110726/c9456e0e6c3956f35adce1def254efedd699d743ec8ed908f67295ef7bb65807ce49fe64afb3a351/small_IMG_20200410_173309.jpg,/new-delhi/delhi-india/pg/14738-circuit-house-girls-pg/pgo-properties,Circuit house girls pg,GeoCoordinates,28.678628,77.207892,PostalAddress,"Delhi, India",Delhi,"Block UA, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/6/0184d020a00aa09897e040b4e942b4dd593e3d64e23226f0c170e8fc0285d5099c468035fe8aa7bf/small_Images_3.png,/new-delhi/delhi-india/pg/14752-bansal-kutir-boys-pg/pgo-properties,Bansal kutir boys pg,GeoCoordinates,28.679632,77.207239,PostalAddress,"Delhi, India",Delhi,"Block UA, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/4/6868a223c584ccf7e51b37dbe4a49f79a04df81173279095c394ab69be2261b56c80ba6647360a99/small_Images_1.png,/new-delhi/delhi-india/pg/14753-fresher-house-pg-for-girls/pgo-properties,Fresher house pg for girls,GeoCoordinates,28.679509,77.207292,PostalAddress,"Delhi, India",Delhi,"61/62 UA, Block UA, Jawahar Nagar, Kamla Nagar",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/85932/bcae250427768199819aab94a667daef5ae86a3b1e67d116158dbedff4799c4f508a76a3a6ad7f02/small_1.PNG,/delhi/ludlow-cas-tck/pg/9018-pg-for-girls-near-du/pgo-properties,PG For Girls Near DU,GeoCoordinates,28.671837,77.219306,PostalAddress,Ludlow Cas Tck,Rajnivas Marg,11-B,110054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/31695/d44a5b915ca287b847aab6133b5ef65e3b62ff09bebb78d764132e352e5dc11e495cc0d13374f430/small_aa31cd045fa0f94fc3ee35a6f58ee50d.jpg,/delhi/timarpur/pg/2547-arpita-pg/pgo-properties,Arpita PG,GeoCoordinates,28.700943,77.221424,PostalAddress,timarpur,14 old market,14 old market,110054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/105925/08915b5c447c6afeee365077bac37c7edff92dc40db9f9880647e1539ae6f731d8434d70bc27704c/small_9EDA1CAE-65CB-415E-B5E2-2DD0684B2497.jpeg,/delhi/delhi-india/pg/14162-nehruji-ki-kutia-boys-pg/pgo-properties,Nehruji ki kutia Boys PG,GeoCoordinates,28.676739,77.208653,PostalAddress,"Delhi, India",Malka Ganj,155-A&amp;B Ambedkar Gali Nehru Kutia,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/84672/4389466a72ff30cc3d05cf66cad4a7772d3dcd9acc35f7b7f50b669c48ca412927b44516da3a56bb/small_WhatsApp_Image_2019-01-18_at_16.34.53__1_.jpeg,/delhi/kamala-nagar/pg/7265-pg-on-palm/pgo-properties,PG On Palm ,GeoCoordinates,28.681757,77.205062,PostalAddress,Kamala Nagar,Jawahar Nagar ,5280 Kohlapur Road ,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/68419/9566f3dd6f3debd5c1c193e3e21dd6bab2631b345e31a9e59263b8e781462cb138cc199bca156c60/small_bad15805c8c394cbbeb4476f9c556936.png,/delhi/kamla-nagar/pg/9028-shasha-sadan-pg-for-boys/pgo-properties,Shasha Sadan PG For Boys,GeoCoordinates,28.681614,77.205179,PostalAddress,Kamla Nagar,Block G,E-144,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/89137/8f723d6a58997e67d30861b1dad9e8229a1c42a5054b4ad46ef5ec6433787cfa171894135b9561b8/small_IMG-20190526-WA0002.jpg,/new-delhi/delhi/pg/12575-metropg/pgo-properties,MetroPG,GeoCoordinates,28.68193,77.204838,PostalAddress,delhi,delhi,"E-BLOCK, KAMLA NAGAR",110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/4/6868a223c584ccf7e51b37dbe4a49f79a04df81173279095c394ab69be2261b56c80ba6647360a99/small_Images_1.png,/new-delhi/delhi-india/pg/15071-girls-pg-tirupati/pgo-properties,Girls pg tirupati,GeoCoordinates,28.67741,77.206949,PostalAddress,"Delhi, India",Delhi,Block G,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/110734/a2adf76b8dbd3594ec004f459e51887227b94da4eeb52d054b2f6203d81b672cf66e41f4bf61bed4/small_IMG_20200410_174506.jpg,/new-delhi/delhi-india/pg/14740-pg-for-girls-in-delhi/pgo-properties,Pg for girls in delhi,GeoCoordinates,28.695324,77.206898,PostalAddress,"Delhi, India",Delhi,"Hudson Lane, GTB Nagar",110009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/118433/a22e0dac52ceabf68867cb42247be6c9298118354884e369895206777114f0eba9621216a1191525/small_WhatsApp_Image_2020-10-19_at_9.23.44_PM.jpeg,/new-delhi/delhi-india/pg/16446-ghar-pg/pgo-properties,Ghar PG,GeoCoordinates,28.696454,77.207891,PostalAddress,"Delhi, India",New Delhi,"2246, Hudson Lane, GTB Nagar",110009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/property_image/image/85452/d1ad98164d17093ee2da0a7e317a470818a4807b57529af901e8a9b3a9cd641510e9fdbd465f2816/small_1.jpg,/new-delhi/kamala-nagar/pg/7141-dream-home-pg-2/pgo-properties,Dream Home PG-2,GeoCoordinates,28.680043,77.205018,PostalAddress,Kamala Nagar,Near Spark Mall,H.No:5476,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://schema.org,Room,https://d2bxpw04qb5rhq.cloudfront.net/production/application_static_image/image/7/024db16dbe4402479eeefd16eba3bb0f29bcb93ddecb5e686f2a680925d047d747ae6e131725987e/small_Images_4.png,/new-delhi/delhi-india/pg/13451-bagga-pg-for-boys/pgo-properties,Bagga PG for Boys,GeoCoordinates,28.680911,77.204587,PostalAddress,"Delhi, India",New Delhi,h.no:6299 9k kohla pur road Kamla Nagar,110007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
